Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
NEG_5_years_2	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_7_years_2	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_7_years_2	FILES/NEG_7_years_2.raw	Data transformation	NEG_7_years_2	FILES/NEG_7_years_2.raw	Metabolite identification	NEG_7_years_2	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_5_years_3	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_7_years_3	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_7_years_3	FILES/NEG_7_years_3.raw	Data transformation	NEG_7_years_3	FILES/NEG_7_years_3.raw	Metabolite identification	NEG_7_years_3	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_7_years_1	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_9_years_1	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_9_years_1	FILES/NEG_9_years_1.raw	Data transformation	NEG_9_years_1	FILES/NEG_9_years_1.raw	Metabolite identification	NEG_9_years_1	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_7_years_2	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_9_years_2	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_9_years_2	FILES/NEG_9_years_2.raw	Data transformation	NEG_9_years_2	FILES/NEG_9_years_2.raw	Metabolite identification	NEG_9_years_2	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_7_years_3	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_9_years_3	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_9_years_3	FILES/NEG_9_years_3.raw	Data transformation	NEG_9_years_3	FILES/NEG_9_years_3.raw	Metabolite identification	NEG_9_years_3	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_9_years_1	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_11_years_1	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_11_years_1	FILES/NEG_11_years_1.raw	Data transformation	NEG_11_years_1	FILES/NEG_11_years_1.raw	Metabolite identification	NEG_11_years_1	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_9_years_2	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_11_years_2	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_11_years_2	FILES/NEG_11_years_2.raw	Data transformation	NEG_11_years_2	FILES/NEG_11_years_2.raw	Metabolite identification	NEG_11_years_2	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_9_years_3	Extraction	MeOH/H2O(4:1,v:v)	none	NEG_11_years_3	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	NEG_11_years_3	FILES/NEG_11_years_3.raw	Data transformation	NEG_11_years_3	FILES/NEG_11_years_3.raw	Metabolite identification	NEG_11_years_3	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_Hh12LWL_QC01	Extraction	MeOH/H2O(4:1,v:v)	none	POS_0_year_1	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_0_year_1	FILES/POS_0_year_1.raw	Data transformation	POS_0_year_1	FILES/POS_0_year_1.raw	Metabolite identification	POS_0_year_1	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_Hh12LWL_QC02	Extraction	MeOH/H2O(4:1,v:v)	none	POS_0_year_2	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_0_year_2	FILES/POS_0_year_2.raw	Data transformation	POS_0_year_2	FILES/POS_0_year_2.raw	Metabolite identification	POS_0_year_2	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_Hh12LWL_QC03	Extraction	MeOH/H2O(4:1,v:v)	none	POS_0_year_3	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_0_year_3	FILES/POS_0_year_3.raw	Data transformation	POS_0_year_3	FILES/POS_0_year_3.raw	Metabolite identification	POS_0_year_3	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
NEG_Hh12LWL_QC04	Extraction	MeOH/H2O(4:1,v:v)	none	POS_2_years_1	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_2_years_1	FILES/POS_2_years_1.raw	Data transformation	POS_2_years_1	FILES/POS_2_years_1.raw	Metabolite identification	POS_2_years_1	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
POS_0_year_1	Extraction	MeOH/H2O(4:1,v:v)	none	POS_2_years_2	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_2_years_2	FILES/POS_2_years_2.raw	Data transformation	POS_2_years_2	FILES/POS_2_years_2.raw	Metabolite identification	POS_2_years_2	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
POS_0_year_2	Extraction	MeOH/H2O(4:1,v:v)	none	POS_2_years_3	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_2_years_3	FILES/POS_2_years_3.raw	Data transformation	POS_2_years_3	FILES/POS_2_years_3.raw	Metabolite identification	POS_2_years_3	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
POS_0_year_3	Extraction	MeOH/H2O(4:1,v:v)	none	POS_5_years_1	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_5_years_1	FILES/POS_5_years_1.raw	Data transformation	POS_5_years_1	FILES/POS_5_years_1.raw	Metabolite identification	POS_5_years_1	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
POS_11_years_1	Extraction	MeOH/H2O(4:1,v:v)	none	POS_5_years_2	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_5_years_2	FILES/POS_5_years_2.raw	Data transformation	POS_5_years_2	FILES/POS_5_years_2.raw	Metabolite identification	POS_5_years_2	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
POS_11_years_2	Extraction	MeOH/H2O(4:1,v:v)	none	POS_5_years_3	Chromatography	Thermo Scientific LTQ Orbitrap Classic	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000645		ACQUITY UPLC BEH C18(1.7 um,2.1 mm x150mm;Waters)	reverse phase	ACQUITY UPLC BEH C18 VanGuard Pre-column(1.7 um, 2.1 mmx5mm;Waters)					Mass spectrometry	alternating	70-1050	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	ion spray ionization mass spectrometry	FIX	http://purl.obolibrary.org/obo/FIX_0000862	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	POS_5_years_3	FILES/POS_5_years_3.raw	Data transformation	POS_5_years_3	FILES/POS_5_years_3.raw	Metabolite identification	POS_5_years_3	m_MTBLS13336_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
